symbol,organ_name
CMT,CTCP Công nghệ Mạng và Truyền thông
PMC,CTCP Dược phẩm Dược liệu Pharmedic
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
DTD,CTCP Đầu tư Phát triển Thành Đạt
QHW,CTCP Nước khoáng Quảng Ninh
CMF,CTCP Thực phẩm Cholimex
CEN,CTCP CENCON Việt Nam
UMC,CTCP Công trình Đô thị Nam Định
DLD,CTCP Du lịch Đắk Lắk
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
NDP,CTCP Dược phẩm 2/9
HKT,CTCP Đầu tư QP Xanh
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
VHM,CTCP Vinhomes
AMP,CTCP Armephaco
VDN,CTCP Vinatex Đà Nẵng
HBD,CTCP Bao Bì PP Bình Dương
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
VPX,CTCP Chứng khoán VPBank
S74,CTCP Sông Đà 7.04
VCX,CTCP Xi măng Yên Bình
GMC,CTCP Garmex Sài Gòn
SSC,CTCP Giống cây trồng Miền Nam
TDG,CTCP Đầu tư TDG Global
LUT,CTCP Đầu tư Xây dựng Lương Tài
BHG,CTCP Chè Biển Hồ
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
NRC,CTCP Tập đoàn NRC
POT,CTCP Thiết bị Bưu điện
AME,CTCP Alphanam E&C
SPB,CTCP Sợi Phú Bài
VDT,CTCP Lưới thép Bình Tây
PMJ,CTCP Vật tư Bưu Điện
SHP,CTCP Thủy điện Miền Nam
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định
GAS,Tổng Công ty Khí Việt Nam - CTCP
PMS,CTCP Cơ khí Xăng dầu
XPH,CTCP Xà phòng Hà Nội
ONE,CTCP Công nghệ One
L62,CTCP Lilama 69-2
GDT,CTCP Chế biến Gỗ Đức Thành
HNP,CTCP Hanel Xốp nhựa
CTA,CTCP Vinavico
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
DNW,CTCP Cấp nước Đồng Nai
TFC,CTCP Trang
VCE,CTCP Xây lắp Môi trường
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp
CAT,CTCP Thủy sản Cà Mau
LTG,CTCP Tập đoàn Lộc Trời
LMC,CTCP Long Beach LMC
CNG,CTCP CNG Việt Nam
DCF,CTCP Xây dựng và Thiết kế Số 1
QBS,CTCP Xuất nhập khẩu Quảng Bình
FCM,CTCP Bê tông Phan Vũ Hà Nam
TPB,Ngân hàng TMCP Tiên Phong
PTV,CTCP Thương mại Dầu khí
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
NHH,CTCP Nhựa Hà Nội
S4A,CTCP Thủy điện Sê San 4A
VCG,Tổng Công ty cổ phần Xuất nhập khẩu và Xây dựng Việt Nam
NTH,CTCP Thủy điện Nước Trong
PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí
NVB,Ngân hàng TMCP Quốc Dân
VE8,CTCP Xây dựng Điện VNECO 8
SBL,CTCP Bia Sài Gòn - Bạc Liêu
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
MEC,CTCP Cơ khí - Lắp máy Sông Đà
LIG,CTCP Licogi 13
HMG,CTCP Kim khí Hà Nội - VNSTEEL
FRM,CTCP Lâm Nghiệp Sài Gòn
MND,CTCP Môi trường Nam Định
MCG,CTCP Năng lượng và Bất động sản MCG
DHP,CTCP Điện cơ Hải Phòng
VE3,CTCP Xây dựng Điện VNECO 3
VNH,CTCP Đầu tư Việt Việt Nhật
CCC,CTCP Xây dựng CDC
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
MBS,CTCP Chứng khoán MB
DRC,CTCP Cao su Đà Nẵng
APF,CTCP Nông sản Thực phẩm Quảng Ngãi
IME,CTCP Cơ khí và Xây lắp Công nghiệp
QHD,CTCP Que hàn điện Việt Đức
DFF,CTCP Tập đoàn Đua Fat
CDG,CTCP Cầu Đuống
NST,CTCP Ngân Sơn
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội
VCR,CTCP Đầu tư và Phát triển Du lịch Vinaconex
QNC,CTCP Xi măng và Xây dựng Quảng Ninh
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
PCF,CTCP Cà phê PETEC
PTP,CTCP PTP
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam
CLM,CTCP Xuất nhập khẩu Than - Vinacomin
L14,CTCP Licogi 14
ITD,CTCP Công nghệ ITD
SIG,CTCP Đầu tư và Thương mại Sông Đà
EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực
TIE,CTCP TIE
BHA,CTCP Thủy điện Bắc Hà
NBT,CTCP Cấp thoát nước Bến Tre
RAT,CTCP Vận tải và Thương mại Đường sắt
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng
PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình
BSA,CTCP Thủy điện Buôn Đôn
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
BHK,CTCP Bia Hà Nội - Kim Bài
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu
HTV,CTCP Logistics Vicem
CTG,Ngân hàng TMCP Công Thương Việt Nam
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
IDP,CTCP Sữa Quốc tế Lof
V21,CTCP Vinaconex 21
AAV,CTCP AAV Group
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
VLP,CTCP Công trình Công cộng Vĩnh Long
BVN,CTCP Bông Việt Nam
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP
MKP,CTCP Hoá - Dược phẩm Mekophar
VIG,CTCP Chứng khoán Đầu tư tài chính Việt Nam
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa
TDW,CTCP Cấp nước Thủ Đức
HPT,CTCP Dịch vụ Công nghệ Tin học HPT
VDB,CTCP Vận tải và Chế biến Than Đông Bắc
HHB,CTCP Bia Hà Nội - Hồng Hà
GEG,CTCP Điện Gia Lai
MH3,CTCP Khu Công nghiệp Cao su Bình Long
DNN,CTCP Cấp nước Đà Nẵng
DVN,Tổng Công ty Dược Việt Nam - CTCP
HAP,CTCP Tập đoàn Hapaco
DM7,CTCP Dệt May 7
TNI,CTCP Tập đoàn Thành Nam
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An
BTT,CTCP Thương mại Dịch vụ Bến Thành
BDG,CTCP May mặc Bình Dương
SDG,CTCP Sadico Cần Thơ
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung
RIC,CTCP Quốc tế Hoàng Gia
DP3,CTCP Dược phẩm Trung ương 3
ARM,CTCP Xuất nhập khẩu Hàng không
MLS,CTCP Chăn nuôi - Mitraco
HU3,CTCP Đầu tư và Xây dựng HUD3
QNP,CTCP Cảng Quy Nhơn
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí
OCB,Ngân hàng TMCP Phương Đông
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
PTG,CTCP May Xuất khẩu Phan Thiết
MTG,CTCP MT Gas
BMI,Tổng Công ty cổ phần Bảo Minh
DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng
VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam
C32,CTCP Đầu tư và Xây dựng 3-2
VIX,CTCP Chứng khoán VIX
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung
ITC,CTCP Đầu tư và Kinh doanh Nhà
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
MML,CTCP Masan MeatLife
TJC,CTCP Dịch vụ Vận tải và Thương mại
PLE,CTCP Tư vấn Xây dựng Petrolimex
NJC,CTCP May Nam Định
MBT,CTCP Bất động sản cho thuê Minh Bảo Tín
GTT,CTCP Thuận Thảo
FT1,CTCP Phụ tùng Máy số 1
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP
ONW,CTCP Dịch vụ Một Thế Giới
C47,CTCP Xây dựng 47
PCG,CTCP Đầu tư Phát triển Gas Đô thị
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam
LPB,Ngân hàng TMCP Lộc Phát Việt Nam
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện
NQN,CTCP Nước sạch Quảng Ninh
SP2,CTCP Thủy điện Sử Pán 2
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
PHC,CTCP Xây dựng Phục Hưng Holdings
NBP,CTCP Nhiệt điện Ninh Bình
KGM,CTCP Xuất nhập khẩu Kiên Giang
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
HCI,CTCP Đầu tư Xây dựng Hà Nội 
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam
VFC,CTCP Vinafco
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op
VTE,CTCP VINACAP Kim Long
ASM,CTCP Tập đoàn Sao Mai
VMA,CTCP Công nghiệp Ô tô - Vinacomin
VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam
QNU,CTCP Môi trường Đô thị Quảng Nam
PSL,CTCP Chăn nuôi Phú Sơn
SPC,CTCP Bảo vệ Thực vật Sài Gòn
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
SD7,CTCP Sông Đà 7
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam
TVS,CTCP Chứng khoán Thiên Việt
TAW,CTCP Cấp nước Trung An
LMH,CTCP Quốc Tế Holding
MDC,CTCP Than Mông Dương - Vinacomin
TV6,CTCP Tập đoàn EMA Land
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
TN1,CTCP Rox Key Holdings
VC7,CTCP Tập đoàn BGI
DGT,CTCP Công trình Giao thông Đồng Nai
EGL,CTCP Môi trường Đô thị Gia Lâm
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai
NDF,CTCP Chế biến Thực phẩm Nông sản xuất khẩu Nam Định
TVN,Tổng Công ty Thép Việt Nam - CTCP
UTT,CTCP Môi trường Đô thị Thanh Trì
ABB,Ngân hàng TMCP An Bình
DRG,CTCP Cao su Đắk Lắk
HC1,CTCP Xây dựng Số 1 Hà Nội
HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội
ALT,CTCP Văn hóa Tân Bình
NAU,CTCP Môi trường và Công trình Đô thị Nghệ An
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket
CMG,CTCP Tập đoàn Công nghệ CMC
MEF,CTCP MEINFA
NAV,CTCP Nam Việt
SBS,CTCP Chứng khoán SBS
LIC,Tổng Công ty LICOGI - CTCP
HSM,Tổng Công ty cổ phần Dệt may Hà Nội
TMX,CTCP VICEM Thương mại Xi măng
TH1,CTCP Xuất nhập khẩu Tổng hợp I Việt Nam
DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu
CT3,CTCP Đầu tư và Xây dựng Công trình 3
IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI
FOX,CTCP Viễn thông FPT
C22,CTCP 22
TRS,CTCP Vận tải và Dịch vụ Hàng hải
VGG,Tổng Công ty cổ phần May Việt Tiến
DCS,CTCP Tập đoàn EDX
BLF,CTCP Thủy sản Bạc Liêu
DDB,CTCP Thương mại và Xây dựng Đông Dương
PNP,CTCP Tân Cảng - Phú Hữu
SCD,CTCP Nước giải khát Chương Dương
MHL,CTCP Minh Hữu Liên
HLT,CTCP Dệt may Hoàng Thị Loan
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
TV1,CTCP Tư vấn Xây dựng Điện 1
HID,CTCP Halcom Việt Nam
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
PCM,CTCP Vật liệu Xây dựng Bưu điện
TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa
VHH,CTCP Đầu tư Kinh doanh Nhà Thành Đạt
TV4,CTCP Tư vấn Xây dựng Điện 4
JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải
CCP,CTCP Cảng Cửa Cấm Hải Phòng
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
BBH,CTCP Bao bì Hoàng Thạch
DLR,CTCP Địa ốc Đà Lạt
BLN,CTCP Vận tải và Dịch vụ Liên Ninh
E12,CTCP Xây dựng Điện VNECO12
BVL,CTCP BV Land
MBG,CTCP Tập đoàn MBG
TDS,CTCP Thép Thủ Đức - VNSTEEL
SAF,CTCP Lương thực Thực phẩm Safoco
TDF,CTCP Trung Đô
VVS,CTCP Đầu tư phát triển máy Việt Nam
TMT,CTCP Ô tô TMT
USC,CTCP Khảo sát và Xây dựng -USCO
DCL,CTCP Dược phẩm Cửu Long
SIP,CTCP Đầu tư Sài Gòn VRG
DMS,CTCP Hóa phẩm Dầu khí DMC - Miền Nam
TPC,CTCP Nhựa Tân Đại Hưng
PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng
VTD,CTCP Vietourist Holdings
PNG,CTCP Thương mại Phú Nhuận
MDG,CTCP Miền Đông
CMX,CTCP Camimex Group
BT6,CTCP Beton 6
MA1,CTCP Thiết bị
KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu
SD8,CTCP Sông Đà 8
MBB,Ngân hàng TMCP Quân đội
CLL,CTCP Cảng Cát Lái
BBS,CTCP VICEM Bao bì Bút Sơn
VTV,CTCP Năng lượng và Môi trường VICEM
BMG,CTCP May Bình Minh
KMR,CTCP Mirae
SDT,CTCP Sông Đà 10
SD4,CTCP Sông Đà 4
IDC,Tổng Công ty IDICO - CTCP
ADP,CTCP Sơn Á Đông
KTT,CTCP Tập đoàn Đầu tư KTT
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
BCA,CTCP B.C.H
LCD,CTCP Lắp máy - Thí nghiệm Cơ điện
TST,CTCP Dịch vụ Kỹ Thuật Viễn thông
ALV,CTCP Tập đoàn MCST
HAM,CTCP Vật tư Hậu Giang
HLY,CTCP Gốm Xây Dựng Yên Hưng
DNP,CTCP DNP Holding
DMC,CTCP Xuất nhập khẩu Y Tế DOMESCO
TVB,CTCP Chứng khoán T-Cap
CHP,CTCP Thủy điện Miền Trung
SLS,CTCP Mía Đường Sơn La
ECO,CTCP Nhựa sinh thái Việt Nam
VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam
CTR,Tổng Công ty cổ phần Công trình Viettel
SZL,CTCP Sonadezi Long Thành
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế
TDB,CTCP Thủy điện Định Bình
BKG,CTCP Đầu tư BKG Việt Nam
AAH,CTCP Hợp Nhất
LG9,CTCP Cơ giới và Xây lắp Số 9
TDM,CTCP Nước Thủ Dầu Một
BMK,CTCP Kỹ thuật nhiệt Mèo Đen
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
TNC,CTCP Cao su Thống Nhất
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
GHC,CTCP Thủy điện Gia Lai
HOT,CTCP Du lịch - Dịch vụ Hội An
UEM,CTCP Cơ điện Uông Bí - Vinacomin
PVV,CTCP Vinaconex 39
BCG,CTCP Tập đoàn Bamboo Capital
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long
TGP,CTCP Trường Phú
TTN,CTCP Công nghệ và Truyền thông Việt Nam
HNA,CTCP Thủy điện Hủa Na
NFC,CTCP Phân lân Ninh Bình
FBC,CTCP Cơ khí Phổ Yên
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai
SD5,CTCP Sông Đà 5
SAM,CTCP SAM Holdings
F88,CTCP Đầu tư F88
VCI,CTCP Chứng khoán Vietcap
DTP,CTCP Dược phẩm CPC1 Hà Nội
BMC,CTCP Khoáng sản Bình Định
ACS,CTCP Xây lắp Thương mại 2
CAG,CTCP Cảng An Giang
VBH,CTCP Điện tử Bình Hòa
MAC,CTCP Tập đoàn Macstar
SMB,CTCP Bia Sài Gòn - Miền Trung
TAN,CTCP Cà phê Thuận An
LAF,CTCP Chế biến hàng Xuất khẩu Long An
NNT,CTCP Cấp nước Ninh Thuận
BMP,CTCP Nhựa Bình Minh
BSG,CTCP Xe khách Sài Gòn
VGP,CTCP Cảng Rau Quả
TKU,CTCP Công nghiệp Tung Kuang
VTA,CTCP Vitaly
MEL,CTCP Thép Mê Lin
DHA,CTCP Hóa An
XMC,CTCP Đầu tư và Xây dựng Xuân Mai
SCC,CTCP Thương mại Đầu tư SHB
VBG,CTCP Địa chất Việt Bắc - TKV
A32,CTCP 32
VHG,CTCP Đầu tư Phát triển Việt Trung Nam
SZB,CTCP Sonadezi Long Bình
TLG,CTCP Tập đoàn Thiên Long
TAB,CTCP Freco Việt Nam
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV
APS,CTCP Chứng khoán Châu Á Thái Bình Dương
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng
CMV,CTCP Thương nghiệp Cà Mau
HAG,CTCP Hoàng Anh Gia Lai
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
AMC,CTCP Khoáng sản Á Châu
TIG,CTCP Tập đoàn Đầu tư Thăng Long
VTR,CTCP Du lịch Vietravel
FIT,CTCP Tập đoàn F.I.T
BHP,CTCP Bia Hà Nội - Hải Phòng
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP
TQW,CTCP Cấp thoát nước Tuyên Quang
VE1,CTCP Xây dựng Điện VNECO 1
VCF,CTCP Vinacafé Biên Hòa
VUA,CTCP Chứng khoán Stanley Brothers
SJM,CTCP Sunspace Holdings
HFC,CTCP Xăng dầu HFC
HVN,Tổng Công ty Hàng không Việt Nam - CTCP
TSC,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ
HWS,CTCP Cấp nước Huế
DCR,CTCP Gạch men Cosevco
HPO,CTCP Công nghiệp Hapulico
HDW,CTCP Kinh doanh Nước sạch Hải Dương
VC1,CTCP Xây dựng Số 1
GCF,CTCP Thực phẩm G.C
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô
BAF,CTCP Nông nghiệp BAF Việt Nam
MSN,CTCP Tập đoàn Masan
MDA,CTCP Môi trường Đô thị Đông Anh
PIC,CTCP Đầu tư Điện lực 3
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP
MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình
CBS,CTCP Mía Đường Cao Bằng
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận
THP,CTCP Thủy sản và Thương mại Thuận Phước
CCT,CTCP Cảng Cần Thơ
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai
YBC,CTCP Xi măng và Khoáng sản Yên Bái
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
CVT,CTCP CMC
TRC,CTCP Cao su Tây Ninh
TNV,CTCP Thống Nhất Hà Nội
ITA,CTCP Đầu tư và Công nghiệp Tân Tạo
ECI,CTCP Tập Đoàn ECI
ITQ,CTCP Tập đoàn Thiên Quang
SZC,CTCP Sonadezi Châu Đức
DTL,CTCP Đại Thiên Lộc
PIA,CTCP Tin học Viễn thông Petrolimex
KST,CTCP KASATI
INN,CTCP Bao bì và In Nông nghiệp
CMW,CTCP Cấp nước Cà Mau
DCG,CTCP Tổng Công ty May Đáp Cầu
KIP,CTCP K.I.P Việt Nam
C92,CTCP Xây dựng và Đầu tư 492
PAN,CTCP Tập đoàn PAN
TBC,CTCP Thủy điện Thác Bà
VGR,CTCP Cảng Xanh Vip
PMP,CTCP Bao bì đạm Phú Mỹ
DNA,CTCP Điện Nước An Giang
NAW,CTCP Cấp nước Nghệ An
HAS,CTCP Hacisco
MQN,CTCP Môi trường đô thị Quảng Ngãi
BCR,CTCP BCG Land
PHP,CTCP Cảng Hải Phòng
NTF,CTCP Dược - Vật tư Y tế Nghệ An
IJC,CTCP Phát triển Hạ tầng Kỹ thuật
FTI,CTCP Công nghiệp - Thương mại Hữu Nghị
ELC,CTCP Công Nghệ - Viễn Thông Elcom
CDP,CTCP Dược phẩm Trung ương Codupha
PTT,CTCP Vận tải Dầu khí Đông Dương
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
KSV,Tổng Công ty Khoáng sản TKV - CTCP
VC3,CTCP Tập đoàn Nam Mê Kông
S12,CTCP Sông Đà 12
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex
CCS,CTCP Chíp Sáng
TRA,CTCP Traphaco
CDN,CTCP Cảng Đà Nẵng
RAL,CTCP Bóng đèn Phích nước Rạng Đông
BCE,CTCP Xây dựng và Giao thông Bình Dương
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung
ABC,CTCP Truyền thông VMG
MCM,CTCP Giống Bò sữa Mộc Châu
TTB,CTCP TTBGroup
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng
AG1,CTCP 28.1
DAN,CTCP Dược Danapha
HGM,CTCP Cơ khí và Khoáng sản Hà Giang
PSI,CTCP Chứng khoán Dầu khí
G20,CTCP Đầu tư Dệt may Vĩnh Phúc
LM7,CTCP Lilama 7
MVC,CTCP Vật liệu và Xây dựng Bình Dương
LIX,CTCP Bột Giặt Lix
PAC,CTCP Pin Ắc quy Miền Nam
SKH,CTCP Nước giải khát Sanest Khánh Hòa
VNC,CTCP Tập đoàn Vinacontrol
LDG,CTCP Đầu tư LDG
HPW,CTCP Cấp nước Hải Phòng
QNT,CTCP Tư vấn Phát triển Quảng Nam
CMP,CTCP Cảng Chân Mây
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su
CHC,CTCP Cẩm Hà
NTT,CTCP Dệt - May Nha Trang
HVT,CTCP Hóa chất Việt Trì
SRF,CTCP SEAREFICO
V12,CTCP Xây dựng Số 12
SIV,CTCP SIVICO
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP
VNS,CTCP Ánh Dương Việt Nam
DNL,CTCP Logistics Cảng Đà Nẵng
DNT,CTCP Du lịch Đồng Nai
SCR,CTCP Địa ốc Sài Gòn Thương Tín
AVG,CTCP Phân bón Quốc tế Âu Việt
DNC,CTCP Điện Nước Lắp máy Hải Phòng
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
NDT,Tổng Công ty cổ phần Dệt May Nam Định
HC3,CTCP Xây dựng Số 3 Hải Phòng
NAG,CTCP Tập đoàn Nagakawa
HU1,CTCP Đầu tư và Xây dựng HUD1
RCC,CTCP Tổng Công ty Công trình Đường sắt Việt Nam
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh
GSM,CTCP Thủy điện Hương Sơn
TCO,CTCP Janus Group
CFV,CTCP Cà phê Thắng Lợi
VNA,CTCP Vận tải Biển Vinaship
SII,CTCP Hạ tầng Nước Sài Gòn
XMP,CTCP Thủy điện Xuân Minh
CPH,CTCP Phục vụ Mai táng Hải Phòng
TOS,CTCP Dịch vụ biển Tân Cảng
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ
THB,CTCP Bia Hà Nội - Thanh Hóa
GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế
NQB,CTCP Cấp nước Quảng Bình
PHH,CTCP Hồng Hà Việt Nam
HTP,CTCP In Sách Giáo khoa Hòa Phát
TTC,CTCP Gạch men Thanh Thanh
VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam
SHG,Tổng Công ty cổ phần Sông Hồng
HDA,CTCP Hãng sơn Đông Á
L43,CTCP Lilama 45.3
GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh
TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
NTC,CTCP Khu Công nghiệp Nam Tân Uyên
SSH,CTCP Phát triển Sunshine Homes
TPP,CTCP Tân Phú Việt Nam
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre
DHG,CTCP Dược Hậu Giang
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP
POB,CTCP Xăng dầu Dầu khí Hưng Yên
DCH,CTCP Địa chính Hà Nội
